PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100019234,75074975,PALL MALL XL ALASKA 15S 1 CAJETILLA,20 Mexico,890 Quintana Roo,M920,C92002,2581,10 AVENIDA NORTE,0,0,0.89,50.03,50.03,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025843,75084165,PALL MALL TOKYO ROADTRIP CAN 20 PZ,20 Mexico,200 Mexico,M200,C20006,1242,Angeles Mexico,0,0,0.29,19.7,19.7,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080896,40331362,WINSTON CIGARR CLASSIC  14S CAJET,20 Mexico,200 Mexico,M202,C20205,1453,Uruguay,0,0,0.18,8.47,8.47,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025297,7.50E+12,VELO GREEN SPEARMINT 8 MG 20 PZ,20 Mexico,200 Mexico,M203,C20305,2734,16 DE SEPTIEMBRE,0,0,0.04,2.62,2.62,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100024998,7.31E+12,ZYN SPEARMINT 6MG STRONG CAJETILLA PZ,20 Mexico,890 Quintana Roo,M900,C90001,2183,COZUMEL PLAZA,0,0,0.39,24.05,24.05,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100022233,75076412,PALL MALL LONDON 20S 1 CAJETILLA,20 Mexico,890 Quintana Roo,M920,C92003,2305,REAL DEL SOL,0,0,0.54,37.87,37.87,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100024420,7.70E+12,VELO GREEN SPEARMINT 6 MG 15 PZ,20 Mexico,890 Quintana Roo,M920,C92004,2549,PASEO XAMAN HA,0,0,0.36,22.48,22.48,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100018656,75001360,MARLBORO VISTA GARDEN 20 1 CAJETILLA,20 Mexico,200 Mexico,M205,C20507,1064,Erasmo Castellanos,0,0,0.46,32.02,32.02,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022995,7.50E+12,WINSTON WINSTON RED 25S 1 PZ,20 Mexico,890 Quintana Roo,M890,C89001,2710,RINCONADA,0,0,0.04,1.94,1.94,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025843,75084165,PALL MALL TOKYO ROADTRIP CAN 20 PZ,20 Mexico,200 Mexico,M204,C20407,1692,Av. Las Granjas Esq. Salonica,0,0,0.04,2.46,2.46,DESABASTO
